n_significant_axes,n_traits
61,1
83,1
90,1
94,1
98,1
103,1
104,1
108,2
109,1
115,1
116,1
118,1
122,1
123,3
126,1
128,1
130,1
131,1
132,4
133,1
134,1
135,1
137,2
138,1
141,3
142,1
143,2
145,3
147,1
149,1
153,1
154,1
155,1
156,1
158,1
160,1
166,1
167,1
