n_significant_traits,n_axes
4,1
5,1
6,1
7,2
8,1
9,6
10,5
12,1
13,1
14,2
15,2
16,3
17,1
19,5
20,6
21,1
22,2
23,3
24,6
25,2
26,3
27,1
28,6
29,3
30,5
31,2
32,3
34,4
35,1
36,4
37,3
38,6
39,5
40,2
41,3
42,10
43,7
44,10
45,4
46,5
47,11
48,11
49,12
50,15
