n_significant_traits,n_axes
3,1
5,1
6,1
7,3
8,3
10,2
11,4
12,7
13,5
14,3
15,3
16,6
17,2
18,6
19,3
20,9
21,4
22,4
23,1
24,9
25,2
26,3
27,1
28,2
29,6
30,6
31,3
32,4
33,5
34,5
35,3
36,2
37,6
38,3
39,8
40,7
41,6
42,6
43,9
44,3
45,1
46,6
47,3
48,6
49,4
50,1
