n_significant_axes,n_traits
23,1
63,1
64,1
69,1
70,1
72,1
75,1
79,1
83,2
84,1
87,1
88,1
89,1
90,1
94,1
99,1
101,1
103,2
107,1
111,2
112,1
114,1
116,1
117,1
118,2
119,1
120,2
122,2
124,1
125,1
127,1
129,1
130,1
132,1
134,1
139,1
140,1
143,1
144,1
145,1
150,1
154,1
158,1
164,1
