run_label,axis_trait,balanced_batched_by,grouped_by,batched,batch_size,count,mean,std,min,max
Neutral,decisive,intent_index,,False,,10,-0.43354712408035995,0.040734222100679195,-0.5197621554136276,-0.3887679070234299
Neutral,conceptual,intent_index,,False,,10,0.8194711589813233,0.04456793438623048,0.7164485573768615,0.8631941199302673
Neutral,challenging,intent_index,,False,,10,-0.8567544987797737,0.019306836873035953,-0.894641461968422,-0.830968576669693
Neutral,philosophical,intent_index,,False,,10,0.6929709541797637,0.02737804675673966,0.6626459360122681,0.7524813175201416
Neutral,contrarian,intent_index,,False,,10,-0.10693214178085327,0.05949416202696022,-0.1523888051509857,0.04343742728233337
Neutral,chaotic,intent_index,,False,,10,-0.4437478643655777,0.047051468191927764,-0.5346755087375641,-0.3669865310192108
Neutral,disorganized,intent_index,,False,,10,-2.583771505355835,0.11285299990195836,-2.7292468547821045,-2.3559200763702393
Confused,decisive,intent_index,,False,,10,-0.7899710717797279,0.07682643088093774,-0.9489605635404587,-0.6729361534118652
Confused,conceptual,intent_index,,False,,10,0.6052954089641571,0.21603746295464746,0.30301421880722046,0.935263741016388
Confused,challenging,intent_index,,False,,10,-0.8003320391476155,0.0875502472594343,-0.9197459638118743,-0.656792689859867
Confused,philosophical,intent_index,,False,,10,0.5693358087539673,0.20008838697656836,0.20431562662124633,0.8727929949760437
Confused,contrarian,intent_index,,False,,10,0.06072407007217408,0.06344858175485464,-0.012666416168212891,0.1577259600162506
Confused,chaotic,intent_index,,False,,10,-0.23621138095855715,0.08745797587573953,-0.307500946521759,-0.01941080093383789
Confused,disorganized,intent_index,,False,,10,-1.9096785646677017,0.301144330030355,-2.2270910501480103,-1.2787267208099364
