condition,axis,num_topics,count,overall_mean,overall_std,overall_variance,between_topic_std,between_topic_variance,mean_within_topic_std,mean_within_topic_variance,pooled_within_topic_std,pooled_within_topic_variance
Neutral,disorganized,5,50,-2.583771505355835,0.40520614795900695,0.1641920223437766,0.34405445928241446,0.1183734709521146,0.15582817939545543,0.07356600570578822,0.2599242533602964,0.06756061748490756
Neutral,chaotic,5,50,-0.44374786436557767,0.646018525146734,0.41733993483276133,0.708989667833595,0.5026663490947912,0.06942916318574512,0.0076222854003034825,0.08366634939261347,0.007000058020686872
Confused,disorganized,5,50,-1.9096785646677017,0.8342542786225968,0.6959802014001094,0.4349797300310247,0.18920736553786313,0.6597000700418625,0.5896607832686853,0.7358839644429703,0.5415252091243028
Confused,chaotic,5,50,-0.23621138095855712,0.6790818115100687,0.4611521067237966,0.7122639765539571,0.507319972296456,0.2098300934788316,0.05119231861350656,0.2168256300088403,0.04701335382873051
