condition,axis,count,mean,std,min,max
Neutral,absolutist,628,-0.6347004387551433,0.454508153000215,-1.525850772857666,0.15877977013587952
Neutral,abstract,628,1.0282416048987655,0.8411278583329275,-1.1787536144256592,2.2720751762390137
Neutral,accessible,628,1.1311106746363793,0.664144379298104,0.4908772110939026,4.254310607910156
Neutral,accommodating,628,0.9289181100524915,0.3509859189828078,0.46774789690971375,2.328723669052124
Neutral,acerbic,628,-2.719220779124339,0.43572042166812175,-3.9898569583892822,-1.8702168464660645
Neutral,adventurous,628,-0.38711045763105345,0.4667424666374936,-1.4125583171844482,0.1596011519432068
Neutral,agreeable,628,1.6241983889014857,0.32528790860630347,0.8544986248016357,2.660764694213867
Neutral,altruistic,628,4.627736247269211,0.3952347299165078,3.563596248626709,5.477209568023682
Neutral,animated,628,-0.32472815242400216,0.2428929528741056,-1.0061790943145752,0.05939418077468872
Neutral,anxious,628,-2.2594900165393854,0.40756848735597884,-3.4692330360412598,-1.422417163848877
Neutral,arrogant,628,-1.588229572317403,0.5346755042408717,-2.8840126991271973,-0.7782119512557983
Neutral,artistic,628,-0.48882065886619747,0.617534534897995,-1.7093214988708496,0.5196190476417542
Neutral,ascetic,628,0.8331987230095325,0.684327847919966,-0.3666278123855591,2.3761184215545654
Neutral,assertive,628,0.5804119867029464,0.24159340198622148,0.08702826499938965,1.0318211317062378
Neutral,avoidant,628,-4.852286026735974,0.43027211602445153,-5.922626495361328,-3.4683027267456055
Neutral,benevolent,628,3.6930220073955073,0.4214619556002859,2.503629207611084,4.9287919998168945
Neutral,bitter,628,-3.02545530363253,0.4110526761471886,-4.310607433319092,-1.9895137548446655
Neutral,bombastic,628,-1.0176243964274219,0.583110646796422,-2.7813527584075928,-0.2942825257778168
Neutral,callous,628,-1.15488913958999,0.20955145256549004,-1.8519256114959717,-0.5877894163131714
Neutral,calm,628,2.601062536239624,0.3993302142495074,1.7644009590148926,3.724454879760742
Neutral,casual,628,-2.2234818490732247,0.43506980932639744,-2.9737753868103027,-0.06328795850276947
Neutral,challenging,628,-0.9548766682054967,0.6540124563314241,-2.548032760620117,-0.01841801404953003
Neutral,chaotic,628,-0.470101439269485,0.6888388523228373,-1.9449443817138672,0.3132835030555725
Neutral,charismatic,628,-0.23227500531134332,0.2599111642229555,-0.8613502979278564,0.16345131397247314
Neutral,chill,628,1.3959445307968528,0.34984685189610115,0.898932933807373,2.569838523864746
Neutral,circumspect,628,0.5706123432298754,0.29828348664958854,-0.34320345520973206,1.2843208312988281
Neutral,closure_seeking,628,-1.7853147228052662,0.47123756022186014,-2.8616995811462402,-1.0830762386322021
Neutral,collaborative,628,0.00405862974892756,0.30867056641264723,-0.7663458585739136,0.5512807369232178
Neutral,collectivistic,628,0.09831036623733438,0.15838147744617187,-0.37367674708366394,0.41960304975509644
Neutral,competitive,628,-0.6477337983573318,0.41645220059630844,-1.8004777431488037,0.19269505143165588
Neutral,conceptual,628,0.9407409274369288,0.8123018668594382,-0.9993672370910645,2.2172279357910156
Neutral,conciliatory,628,2.453970128563559,0.5155445666593171,1.4181571006774902,3.8823814392089844
Neutral,concise,628,-2.0141740213533876,0.33011547095158394,-2.7753210067749023,-1.0152441263198853
Neutral,condescending,628,-1.6325456333008541,0.3136046193414516,-2.5319061279296875,-0.9297425746917725
Neutral,confident,628,0.6408338551023963,0.19883179398860773,0.1254979968070984,0.9876648187637329
Neutral,confrontational,628,1.7091834689401517,0.2969668215401351,0.6484732031822205,2.4277520179748535
Neutral,conscientious,628,2.701982879334954,0.33775446887021465,1.6130635738372803,3.6967382431030273
Neutral,contemporary,628,-0.7509478380084987,0.8976165808115061,-2.3919007778167725,0.6985846161842346
Neutral,contrarian,628,-0.3304247129589889,0.6918186372928808,-1.6470671892166138,0.7783491015434265
Neutral,convergent,628,-0.32512813950087993,0.32037643932056087,-0.9023520946502686,0.5031484961509705
