n_significant_axes,n_traits
40,1
88,1
93,1
106,1
118,2
119,1
122,3
123,2
125,1
126,1
127,4
128,1
129,1
130,1
131,1
132,3
135,1
136,1
137,1
139,1
140,3
143,2
145,1
147,1
148,2
149,1
150,1
153,1
154,3
157,1
159,1
160,1
161,2
169,1
