n_significant_traits,n_axes
8,1
10,1
11,1
13,3
14,2
15,6
16,2
17,2
18,4
19,3
20,3
21,3
22,7
23,4
24,4
25,6
26,2
27,6
28,2
29,4
30,3
31,3
32,2
33,3
34,2
35,4
36,2
37,2
38,1
39,7
40,2
42,4
43,6
44,12
45,16
46,11
47,7
48,19
49,5
50,11
