n_significant_traits,n_axes
6,1
7,1
8,2
9,3
10,1
11,3
12,1
13,1
15,2
16,2
17,6
18,1
19,4
20,2
21,2
23,2
24,3
25,1
26,3
27,5
28,5
29,3
30,4
31,3
32,3
33,7
34,3
35,1
36,2
37,4
38,8
39,5
40,4
41,6
42,8
43,12
44,6
45,6
46,11
47,6
48,5
49,21
50,9
