trait,composite_score,n_total_axes,n_significant_axes,pct_significant_axes,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_axis,top_direction
optimistic,84.31903559538614,188,146,0.776595744680851,0.5775276410642887,1.1186492864853426,0.35171232876712333,animated,+
transparent,80.85978423404825,188,147,0.7819148936170213,0.5500665594152943,1.0196117115405736,0.32775510204081637,gregarious,+
concise,80.71069014108747,188,134,0.7127659574468085,0.6023185831424438,1.5431608934530376,0.3646631706333201,concise,+
agreeable,79.49748222827753,188,139,0.7393617021276596,0.5719243325775362,1.1508944326710076,0.3547482014388488,condescending,+
cautious,77.9162724980678,188,138,0.7340425531914894,0.5646106702758537,1.2068452701128636,0.3453623188405798,condescending,+
curious,75.81160798520051,188,140,0.7446808510638298,0.5415114856085751,1.0416921638615195,0.3343571428571428,accommodating,+
independent,74.37586883853062,188,138,0.7340425531914894,0.5389555712937002,1.052237655462126,0.32971014492753653,accommodating,+
formal,73.11383061460938,188,126,0.6702127659574468,0.5802684969413443,1.4878013233205738,0.307063492063492,epicurean,+
grounded,72.97669915767662,188,135,0.7180851063829787,0.5405681419087157,1.033082273011298,0.3665185185185187,condescending,+
adaptable,72.29201319161781,188,131,0.6968085106382979,0.5518474289436475,1.0224479632282464,0.3461832061068702,risk_taking,+
patient,71.70345254749436,188,135,0.7180851063829787,0.5311366855369953,1.0367472814239673,0.35874074074074064,accommodating,+
collaborative,68.61659581300532,188,136,0.723404255319149,0.5045337927426862,0.9851695501712724,0.3522058823529412,condescending,+
big_picture,66.95235475744082,188,122,0.648936170212766,0.5487897930937772,1.0247738392511125,0.329672131147541,creative,+
calm,65.5020505311033,188,131,0.6968085106382979,0.5000156529091855,1.0781812159800699,0.3429770992366414,confrontational,-
open_ended,61.37507896954435,188,125,0.6648936170212766,0.4910006317563548,0.851236926984255,0.33152,risk_taking,+
traditional,57.564229851388596,188,127,0.675531914893617,0.45326165237313853,0.9080884678058826,0.3282982484332314,condescending,+
data_driven,53.45650295882973,188,125,0.6648936170212766,0.42765202367063787,1.1222331739917202,0.31423999999999996,challenging,+
problem_solving,52.71579673782875,188,117,0.6223404255319149,0.4505623652805876,0.8135391032046749,0.31495726495726495,entertaining,+
proactive,52.16706976531424,188,114,0.6063829787234043,0.4576058751343354,0.9604488748393334,0.336842105263158,condescending,+
confident,51.34293337033344,188,121,0.6436170212765957,0.42432176339118544,0.8784955567190541,0.31702479338842965,rhetorical,+
analytical,50.50361585293431,188,95,0.5053191489361702,0.5316170089782559,1.3477761402419293,0.3114736842105263,challenging,+
practical,49.48763872646922,188,126,0.6702127659574468,0.39275903751166047,0.7376695526376021,0.3299999999999999,condescending,+
conscientious,44.125623317353835,188,112,0.5957446808510638,0.39397877961923067,0.803588366042503,0.3128571428571428,condescending,+
educational,43.19789539786085,188,107,0.5691489361702128,0.4037186485781388,0.7620612448754892,0.31981308411214965,rhetorical,+
strategic,41.2388984785014,188,92,0.48936170212765956,0.44824889650544997,0.8300625866737642,0.3372826086956522,rhetorical,+
serious,40.73973205007171,188,97,0.5159574468085106,0.4199972376296052,0.8353279167272322,0.3176288659793814,eloquent,+
methodical,37.78934970735118,188,91,0.48404255319148937,0.4152675792016613,0.8681962911162404,0.31846153846153835,grandiose,+
factual,26.627451799901248,188,73,0.3882978723404255,0.3647596136972774,0.7001781055933287,0.3083561643835616,condescending,+
