n_significant_axes,n_traits
73,1
91,1
92,1
95,1
97,1
107,1
112,1
114,1
117,1
121,1
122,1
124,1
125,2
126,2
127,1
131,2
134,1
135,2
136,1
138,2
139,1
140,1
141,1
143,1
145,2
146,1
147,3
148,2
150,2
151,1
152,3
154,2
156,1
162,1
163,1
167,1
171,1
