n_significant_traits,n_axes
3,2
4,1
5,2
6,5
7,2
8,5
9,2
11,4
12,2
13,3
14,8
15,3
16,4
17,1
18,2
19,3
20,3
21,3
22,5
23,3
24,4
25,4
26,7
27,2
28,3
29,2
30,7
32,2
33,4
34,5
35,4
36,2
37,2
38,9
39,10
40,6
41,9
42,5
43,8
44,3
45,6
46,6
47,1
48,4
49,2
50,3
51,2
52,2
57,1
