n_significant_axes,n_traits
0,1
1,3
2,3
3,1
4,2
6,2
7,1
8,1
9,4
11,3
15,1
18,1
20,2
30,1
38,1
44,1
50,1
58,1
59,1
65,1
75,1
80,1
83,1
87,2
88,3
93,1
94,1
95,1
96,2
101,2
116,3
117,2
119,1
121,1
122,1
123,1
126,2
127,1
128,1
130,1
131,2
132,1
134,1
135,1
136,1
145,1
149,1
150,1
152,1
153,1
154,1
162,1
168,1
